22,2,178,262,189,165,1,-1,-1,-1
23,2,174,237,216,191,1,-1,-1,-1
24,2,174,219,231,209,1,-1,-1,-1
25,2,179,207,238,221,1,-1,-1,-1
26,2,184,196,241,232,1,-1,-1,-1
27,2,186,181,248,246,1,-1,-1,-1
28,2,192,168,246,254,1,-1,-1,-1
29,2,207,153,237,256,1,-1,-1,-1
30,2,218,143,231,259,1,-1,-1,-1
31,2,229,136,223,263,1,-1,-1,-1
32,2,237,132,215,265,1,-1,-1,-1
33,2,247,127,205,263,1,-1,-1,-1
34,2,257,120,196,264,1,-1,-1,-1
35,2,274,110,178,253,1,-1,-1,-1
36,2,287,104,161,239,1,-1,-1,-1
37,2,301,99,148,230,1,-1,-1,-1
38,2,311,97,139,226,1,-1,-1,-1
39,2,320,96,134,224,1,-1,-1,-1
40,2,329,94,127,219,1,-1,-1,-1
41,2,342,90,121,212,1,-1,-1,-1
42,2,358,85,112,203,1,-1,-1,-1
43,2,376,83,107,200,1,-1,-1,-1
44,2,389,82,103,199,1,-1,-1,-1
45,2,400,84,100,196,1,-1,-1,-1
46,2,407,85,98,195,1,-1,-1,-1
47,2,416,83,99,197,1,-1,-1,-1
48,2,428,79,96,192,1,-1,-1,-1
49,2,448,76,91,187,1,-1,-1,-1
50,2,461,77,89,184,1,-1,-1,-1
51,2,471,78,86,180,1,-1,-1,-1
52,2,477,79,86,178,1,-1,-1,-1
53,2,485,80,86,175,1,-1,-1,-1
54,2,492,81,88,174,1,-1,-1,-1
55,2,510,79,86,172,1,-1,-1,-1
56,2,525,77,85,172,1,-1,-1,-1
57,2,536,79,85,171,1,-1,-1,-1
58,2,543,82,83,168,1,-1,-1,-1
59,2,550,84,84,165,1,-1,-1,-1
60,2,557,84,84,164,1,-1,-1,-1
61,2,572,83,83,161,1,-1,-1,-1
62,2,586,83,82,162,1,-1,-1,-1
63,2,596,83,83,163,1,-1,-1,-1
64,2,602,85,81,159,1,-1,-1,-1
65,2,608,89,80,153,1,-1,-1,-1
66,2,613,91,81,151,1,-1,-1,-1
67,2,621,90,82,152,1,-1,-1,-1
68,2,631,90,82,151,1,-1,-1,-1
69,2,645,90,81,151,1,-1,-1,-1
70,2,652,91,80,149,1,-1,-1,-1
71,2,657,94,78,147,1,-1,-1,-1
72,2,661,95,79,145,1,-1,-1,-1
73,2,669,95,78,142,1,-1,-1,-1
74,2,679,95,75,137,1,-1,-1,-1
75,2,688,94,76,139,1,-1,-1,-1
76,2,692,95,75,137,1,-1,-1,-1
77,2,700,96,74,135,1,-1,-1,-1
78,2,698,103,69,126,1,-1,-1,-1
79,2,705,104,67,123,1,-1,-1,-1
80,2,712,105,66,121,1,-1,-1,-1
81,2,718,106,65,119,1,-1,-1,-1
82,2,725,108,64,115,1,-1,-1,-1
83,2,732,109,62,113,1,-1,-1,-1
